,Unnamed: 0,image_tile_id,image_id,loc_id,Country,State_Province,Air_Field,Latitude,Longitude,Weather,Time_of_Day,Hour_of_Day,Season,avg_sun_elevation_angle,off_nadir_max,avg_pan_resolution,biome,realm,CONTROL
1542,1542,127_104001002B3BB400_tile_775,127_104001002B3BB400,127,USA,Puerto Rico,Luis Munoz Marin International Airport,18.44319945,-65.99743036847468,Clear Skies,Day,11.383333333333333,Spring,70.58651,8.418627,0.313654,Mangroves,Neotropic,1
3557,3557,45_104001000E6AB500_tile_24,45_104001000E6AB500,45,USA,Virginia,Manassas Regional Airport,38.721019600000005,-77.51462836591449,Clear Skies,Day,12.116666666666667,Summer,68.123306,12.681813,0.322767,Temperate Broadleaf & Mixed Forests,Nearctic,2
5588,5588,67_1040010046D15B00_tile_904,67_1040010046D15B00,67,USA,Utah,Salt Lake City International Airport,40.7900661,-111.97989846185592,Cloud Cover or Haze,Day,11.8,Winter,36.111862,8.907067,0.3152905,Deserts & Xeric Shrublands,Nearctic,3
1290,1290,126_104001000C4AEE00_tile_1325,126_104001000C4AEE00,126,PRC,Shanghai,Shanghai Pudong International Airport,31.1427359,121.80411312160436,Clear Skies,Day,10.583333333333334,Summer,71.240685,20.036402,0.342431,Temperate Broadleaf & Mixed Forests,Palearctic,1
5944,5944,6_104001003153D300_tile_348,6_104001003153D300,6,Denmark,Roskilde,Roskilde Airport,55.5858236,12.132685539683798,Clear Skies,Day,12.983333333333333,Summer,47.914566,15.45782,0.3294785,Temperate Broadleaf & Mixed Forests,Palearctic,2
2347,2347,20_1040010038CAE700_tile_123,20_1040010038CAE700,20,Germany,Bavaria,Airport Nuremberg,49.49826845,11.078106331160273,Clear Skies,Day,11.533333333333331,Spring,32.274555,24.380602,0.361652,Temperate Broadleaf & Mixed Forests,Palearctic,3
6486,6486,78_10400100351F9900_tile_126,78_10400100351F9900,78,USA,Florida,Keystone Heights Airport,29.8418068,-82.04830112836822,Cloud Cover or Haze,Day,12.783333333333331,Autumn,45.34788,29.020765,0.389398,"Temperate Grasslands, Savannas & Shrublands",Nearctic,1
3125,3125,35_104005000ADCB500_tile_111,35_104005000ADCB500,35,UK,South East England,Goodwood Aerodrome,50.8595416,-0.758385442306311,Clear Skies,Day,12.8,Summer,59.111965,23.189192,0.3581165,Temperate Broadleaf & Mixed Forests,Palearctic,2
7501,7501,8_104001001051CB00_tile_70,8_104001001051CB00,8,France,Centre-Loire Valley,Bailleau Armenonville Airport,48.5163422,1.6392265406881714,Clear Skies,Day,13.133333333333333,Summer,49.77047,28.594143,0.3851205,Temperate Broadleaf & Mixed Forests,Palearctic,3
7693,7693,93_104001002A4FAA00_tile_1202,93_104001002A4FAA00,93,USA,Kentucky,Cincinnati/Northern Kentucky International Airport,39.04990715,-84.66516172504984,Clear Skies,Day,11.933333333333334,Spring,43.621048,26.912125,0.3737549999999999,Temperate Broadleaf & Mixed Forests,Nearctic,1
5236,5236,60_1040010046430200_tile_224,60_1040010046430200,60,USA,Arizona,Phoenix Sky Harbor International Airport,33.43284865,-112.00679145657892,Clear Skies,Day,11.65,Winter,40.206764,16.53186,0.3315464999999999,Deserts & Xeric Shrublands,Nearctic,2
1959,1959,18_10400100211BDD00_tile_3027,18_10400100211BDD00,18,Germany,Hesse,Frankfurt Flughafen,50.0529322,8.5699146,Clear Skies,Day,12.783333333333331,Autumn,44.877602,10.872156,0.320573,Temperate Broadleaf & Mixed Forests,Palearctic,3
6672,6672,84_1040010006ABC200_tile_153,84_1040010006ABC200,84,USA,Florida,Fort Lauderdale-Hollywood International Airport,26.072017,-80.15099673135214,Clear Skies,Day,10.816666666666666,Winter,36.491913,27.282673,0.375557,Flooded Grasslands & Savannas,Neotropic,1
4495,4495,54_1040010024086400_tile_590,54_1040010024086400,54,USA,Florida,Miami International Airport,25.7949789,-80.28672341095405,Cloud Cover or Haze,Day,11.333333333333334,Autumn,45.31551,22.079554,0.3504075,Flooded Grasslands & Savannas,Neotropic,2
3161,3161,37_104001000EA43C00_tile_326,37_104001000EA43C00,37,UK,South East England,London Gatwick Airport,51.1541082,-0.1823116499127204,Clear Skies,Day,12.033333333333331,Summer,59.530472,23.065435,0.3583105,Temperate Broadleaf & Mixed Forests,Palearctic,3
7880,7880,96_104001000896F900_tile_1231,96_104001000896F900,96,USA,Alaska,Fairbanks International Airport,64.81761,-147.86784231862563,Snow,Day,12.266666666666667,Spring,17.321293,25.172054,0.372064,Boreal Forests/Taiga,Nearctic,1
5397,5397,66_1040010037570000_tile_109,66_1040010037570000,66,USA,Arizona,Marana Regional Airport,32.4113732,-111.21748791631757,Clear Skies,Day,11.766666666666667,Winter,38.81488,26.438148,0.3700475,Deserts & Xeric Shrublands,Nearctic,2
4063,4063,51_10400100061AF700_tile_300,51_10400100061AF700,51,USA,Florida,Opa-locka Executive Airport,25.90619265,-80.27515077349665,Clear Skies,Day,10.816666666666666,Winter,36.465462,25.572586,0.364317,Flooded Grasslands & Savannas,Neotropic,3
4362,4362,54_10400100061AF700_tile_616,54_10400100061AF700,54,USA,Florida,Miami International Airport,25.7949789,-80.28672341095405,Clear Skies,Day,10.816666666666666,Winter,36.465462,25.572586,0.364317,Flooded Grasslands & Savannas,Neotropic,1
874,874,118_104001000A341F00_tile_540,118_104001000A341F00,118,USA,Wisconsin,General Mitchell International Airport,42.9465423,-87.89725778714413,Clear Skies,Day,12.016666666666667,Spring,55.762569,21.356901,0.3485375,"Temperate Grasslands, Savannas & Shrublands",Nearctic,2
2718,2718,26_1040010011C6F000_tile_1578,26_1040010011C6F000,26,Denmark,Capital Region,Københavns Lufthavn,55.6091282,12.650982248393536,Clear Skies,Day,12.45,Autumn,39.65004,22.694019,0.357694,Temperate Broadleaf & Mixed Forests,Palearctic,3
6570,6570,81_104001003AD0B700_tile_176,81_104001003AD0B700,81,USA,New York,Albany International Airport,42.74801595,-73.79855563763934,Cloud Cover or Haze,Day,12.083333333333334,Spring,51.89871,18.847578,0.3402325,Temperate Broadleaf & Mixed Forests,Nearctic,1
505,505,112_104001001FBAB400_tile_219,112_104001001FBAB400,112,USA,Nevada,Boulder City Municipal Airport,35.9494789,-114.86096709818464,Clear Skies,Day,11.833333333333334,Summer,72.033577,6.327873,0.312179,Deserts & Xeric Shrublands,Nearctic,2
3239,3239,39_104001001D4E6100_tile_473,39_104001001D4E6100,39,USA,Kansas,Wichita Dwight D. Eisenhower National Airport,37.649253,-97.43226330309298,Clear Skies,Day,12.766666666666667,Summer,73.046417,15.912353,0.3271285,"Temperate Grasslands, Savannas & Shrublands",Nearctic,3
61,61,101_104001003BD74200_tile_192,101_104001003BD74200,101,USA,Arkansas,Hot Springs Memorial Field,34.47926405,-93.09398072838437,Snow,Day,12.433333333333334,Spring,68.48322,24.821592,0.3635494999999999,Temperate Broadleaf & Mixed Forests,Nearctic,1
2749,2749,26_104001001CD3B900_tile_1416,26_104001001CD3B900,26,Denmark,Capital Region,Københavns Lufthavn,55.6091282,12.650982248393536,Clear Skies,Day,12.616666666666667,Spring,50.996479,23.381859,0.3366125,Temperate Broadleaf & Mixed Forests,Palearctic,2
2135,2135,18_1040050010DC4900_tile_2044,18_1040050010DC4900,18,Germany,Hesse,Frankfurt Flughafen,50.0529322,8.5699146,Clear Skies,Day,12.116666666666667,Winter,30.677256,25.62631,0.365993,Temperate Broadleaf & Mixed Forests,Palearctic,3
7298,7298,86_1040010049B46C00_tile_246,86_1040010049B46C00,86,USA,Florida,Palm Beach International Airport,26.6859478,-80.09248650717163,Cloud Cover or Haze,Day,12.183333333333334,Spring,54.206795,28.06292,0.3776905,Flooded Grasslands & Savannas,Neotropic,1
8247,8247,97_104001003823A400_tile_148,97_104001003823A400,97,USA,California,Norman Y. Mineta San Jose International Airport,37.3633299,-121.9293365260259,Clear Skies,Day,11.2,Winter,35.15545,28.25883,0.3868979999999999,"Mediterranean Forests, Woodlands & Scrub",Nearctic,2
3175,3175,37_104001000EA43C00_tile_394,37_104001000EA43C00,37,UK,South East England,London Gatwick Airport,51.1541082,-0.1823116499127204,Clear Skies,Day,12.033333333333331,Summer,59.530472,23.065435,0.3583105,Temperate Broadleaf & Mixed Forests,Palearctic,3
982,982,118_1040010023C25400_tile_729,118_1040010023C25400,118,USA,Wisconsin,General Mitchell International Airport,42.9465423,-87.89725778714413,Clear Skies,Day,12.05,Autumn,40.415581,12.72849,0.323286,"Temperate Grasslands, Savannas & Shrublands",Nearctic,1
3024,3024,31_10400100443CFD00_tile_259,31_10400100443CFD00,31,India,Maharshtra,Chhatrapati Shivaji Maharaj International Airport,19.09015275,72.86371349380883,Clear Skies,Day,11.733333333333333,Autumn,56.59772,23.924757,0.360799,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,2
5917,5917,6_1040010009874E00_tile_256,6_1040010009874E00,6,Denmark,Roskilde,Roskilde Airport,55.5858236,12.132685539683798,Cloud Cover or Haze,Day,12.633333333333333,Spring,39.875862,25.4655,0.3664239999999999,Temperate Broadleaf & Mixed Forests,Palearctic,3
6501,6501,7_104001002D43CF00_tile_5,7_104001002D43CF00,7,Ireland,Leinster,Newcastle Airfield,53.07390715,-6.036515466511577,Clear Skies,Day,13.133333333333333,Spring,56.377438,17.836866,0.3331429999999999,Temperate Broadleaf & Mixed Forests,Palearctic,1
1334,1334,126_104001000C4AEE00_tile_1629,126_104001000C4AEE00,126,PRC,Shanghai,Shanghai Pudong International Airport,31.1427359,121.80411312160436,Clear Skies,Day,10.583333333333334,Summer,71.240685,20.036402,0.342431,Temperate Broadleaf & Mixed Forests,Palearctic,2
2074,2074,18_10400100211BDD00_tile_4475,18_10400100211BDD00,18,Germany,Hesse,Frankfurt Flughafen,50.0529322,8.5699146,Clear Skies,Day,12.783333333333331,Autumn,44.877602,10.872156,0.320573,Temperate Broadleaf & Mixed Forests,Palearctic,3
6219,6219,77_104001004299B200_tile_1026,77_104001004299B200,77,USA,Georgia,Hartsfield - Jackson Atlanta International Airport,33.63779875,-84.42927118585675,Clear Skies,Day,12.983333333333333,Autumn,52.479137,19.396708,0.340441,Temperate Broadleaf & Mixed Forests,Nearctic,1
4035,4035,51_10400100061AF700_tile_247,51_10400100061AF700,51,USA,Florida,Opa-locka Executive Airport,25.90619265,-80.27515077349665,Clear Skies,Day,10.816666666666666,Winter,36.465462,25.572586,0.364317,Flooded Grasslands & Savannas,Neotropic,2
8103,8103,96_104001003C8C7800_tile_1047,96_104001003C8C7800,96,USA,Alaska,Fairbanks International Airport,64.81761,-147.86784231862563,Clear Skies,Day,13.75,Spring,43.191658,26.444286,0.379394,Boreal Forests/Taiga,Nearctic,3
3665,3665,45_1040010044AFF200_tile_45,45_1040010044AFF200,45,USA,Virginia,Manassas Regional Airport,38.721019600000005,-77.51462836591449,Clear Skies,Day,12.35,Autumn,36.99876,9.989432,0.3168075,Temperate Broadleaf & Mixed Forests,Nearctic,1
5130,5130,59_1040010047789700_tile_1091,59_1040010047789700,59,Brazil,Rio de Janeiro South East Region,Tom Jobim International Airport,-22.81130575,-43.25747587604714,Clear Skies,Day,11.566666666666666,Summer,69.642296,23.171156,0.3444235,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,2
4535,4535,54_1040010024086400_tile_732,54_1040010024086400,54,USA,Florida,Miami International Airport,25.7949789,-80.28672341095405,Cloud Cover or Haze,Day,11.333333333333334,Autumn,45.31551,22.079554,0.3504075,Flooded Grasslands & Savannas,Neotropic,3
2390,2390,21_104001001ED39400_tile_250,21_104001001ED39400,21,Croatia,Konavle,Dubrovnik airport,42.56149335,18.26433626257242,Clear Skies,Day,11.883333333333333,Summer,66.286736,26.404703,0.3733035,"Mediterranean Forests, Woodlands & Scrub",Palearctic,1
7099,7099,86_104001003D8DB300_tile_188,86_104001003D8DB300,86,USA,Florida,Palm Beach International Airport,26.6859478,-80.09248650717163,Cloud Cover or Haze,Day,12.283333333333331,Summer,74.79463,24.84526,0.360426,Flooded Grasslands & Savannas,Neotropic,2
6836,6836,84_10400100460EF400_tile_118,84_10400100460EF400,84,USA,Florida,Fort Lauderdale-Hollywood International Airport,26.072017,-80.15099673135214,Clear Skies,Day,11.583333333333334,Winter,41.25408,28.453,0.383542,Flooded Grasslands & Savannas,Neotropic,3
406,406,10_10400100386D9000_tile_70,10_10400100386D9000,10,France,Occitania,Aéroport de Montpellier,43.5789823,3.9583008,Clear Skies,Day,11.966666666666669,Winter,33.709118,28.074926,0.3768005,"Mediterranean Forests, Woodlands & Scrub",Palearctic,1
7730,7730,93_104001002A4FAA00_tile_1358,93_104001002A4FAA00,93,USA,Kentucky,Cincinnati/Northern Kentucky International Airport,39.04990715,-84.66516172504984,Clear Skies,Day,11.933333333333334,Spring,43.621048,26.912125,0.3737549999999999,Temperate Broadleaf & Mixed Forests,Nearctic,2
6093,6093,77_1040010040119E00_tile_386,77_1040010040119E00,77,USA,Georgia,Hartsfield - Jackson Atlanta International Airport,33.63779875,-84.42927118585675,Clear Skies,Day,12.65,Summer,69.28755,26.910341,0.3770965,Temperate Broadleaf & Mixed Forests,Nearctic,3
1722,1722,130_104001002E47CD00_tile_1278,130_104001002E47CD00,130,USA,Pennsylvania,Philadelphia International Airport,39.875018,-75.23521278969667,Cloud Cover or Haze,Day,12.033333333333331,Summer,69.64022,29.135172,0.38891,"Temperate Grasslands, Savannas & Shrublands",Nearctic,1
794,794,115_104001004B8E2D00_tile_958,115_104001004B8E2D00,115,USA,Alabama,Birmingham-Shuttlesworth International Airport,33.56350085,-86.75151606755506,Clear Skies,Day,11.966666666666669,Spring,58.759113,14.023621,0.3185075,Temperate Broadleaf & Mixed Forests,Nearctic,2
1837,1837,13_104001001A99E200_tile_29,13_104001001A99E200,13,Germany,Bavaria,Flugplatz Antersberg,47.962454300000005,11.996405932279275,Clear Skies,Day,12.4,Spring,43.965038,14.713595,0.327598,Temperate Broadleaf & Mixed Forests,Palearctic,3
2742,2742,26_104001001CD3B900_tile_1277,26_104001001CD3B900,26,Denmark,Capital Region,Københavns Lufthavn,55.6091282,12.650982248393536,Clear Skies,Day,12.616666666666667,Spring,50.996479,23.381859,0.3366125,Temperate Broadleaf & Mixed Forests,Palearctic,1
544,544,113_10400100290F5300_tile_93,113_10400100290F5300,113,USA,Florida,Pompano Beach Airpark,26.24909545,-80.1139574586896,Clear Skies,Day,11.2,Winter,41.918182,28.868103,0.385596,Flooded Grasslands & Savannas,Neotropic,2
6122,6122,77_1040010040119E00_tile_561,77_1040010040119E00,77,USA,Georgia,Hartsfield - Jackson Atlanta International Airport,33.63779875,-84.42927118585675,Clear Skies,Day,12.65,Summer,69.28755,26.910341,0.3770965,Temperate Broadleaf & Mixed Forests,Nearctic,3
3672,3672,45_1040010044AFF200_tile_86,45_1040010044AFF200,45,USA,Virginia,Manassas Regional Airport,38.721019600000005,-77.51462836591449,Clear Skies,Day,12.35,Autumn,36.99876,9.989432,0.3168075,Temperate Broadleaf & Mixed Forests,Nearctic,1
554,554,113_104001003D8DB300_tile_24,113_104001003D8DB300,113,USA,Florida,Pompano Beach Airpark,26.24909545,-80.1139574586896,Clear Skies,Day,12.283333333333331,Summer,74.79463,24.84526,0.360426,Flooded Grasslands & Savannas,Neotropic,2
5682,5682,69_104005000CDBE200_tile_1049,69_104005000CDBE200,69,France,Ile-de-France,Tremblay-en-France Airport,49.0068908,2.571081969101916,Clear Skies,Day,13.233333333333333,Autumn,46.01923,17.414585,0.336675,Temperate Broadleaf & Mixed Forests,Palearctic,3
8078,8078,96_10400100096C2500_tile_910,96_10400100096C2500,96,USA,Alaska,Fairbanks International Airport,64.81761,-147.86784231862563,Snow,Day,13.933333333333334,Spring,31.146236,27.446131,0.382692,Boreal Forests/Taiga,Nearctic,1
3504,3504,44_1040010048739B00_tile_80,44_1040010048739B00,44,USA,Nevada,Henderson Executive Airport,35.97313425,-115.13607563609398,Clear Skies,Day,10.75,Winter,41.674206,23.144049,0.3571809999999999,Deserts & Xeric Shrublands,Nearctic,2
1504,1504,127_104001002B3BB400_tile_443,127_104001002B3BB400,127,USA,Puerto Rico,Luis Munoz Marin International Airport,18.44319945,-65.99743036847468,Clear Skies,Day,11.383333333333333,Spring,70.58651,8.418627,0.313654,Mangroves,Neotropic,3
4054,4054,51_10400100061AF700_tile_284,51_10400100061AF700,51,USA,Florida,Opa-locka Executive Airport,25.90619265,-80.27515077349665,Clear Skies,Day,10.816666666666666,Winter,36.465462,25.572586,0.364317,Flooded Grasslands & Savannas,Neotropic,1
4285,4285,54_10400100061AF700_tile_354,54_10400100061AF700,54,USA,Florida,Miami International Airport,25.7949789,-80.28672341095405,Clear Skies,Day,10.816666666666666,Winter,36.465462,25.572586,0.364317,Flooded Grasslands & Savannas,Neotropic,2
2343,2343,20_1040010038CAE700_tile_107,20_1040010038CAE700,20,Germany,Bavaria,Airport Nuremberg,49.49826845,11.078106331160273,Clear Skies,Day,11.533333333333331,Spring,32.274555,24.380602,0.361652,Temperate Broadleaf & Mixed Forests,Palearctic,3
3157,3157,37_104001000EA43C00_tile_311,37_104001000EA43C00,37,UK,South East England,London Gatwick Airport,51.1541082,-0.1823116499127204,Clear Skies,Day,12.033333333333331,Summer,59.530472,23.065435,0.3583105,Temperate Broadleaf & Mixed Forests,Palearctic,1
8337,8337,98_104001000B9F7B00_tile_127,98_104001000B9F7B00,98,USA,Florida,Witham Field,27.1831531,-80.22488623222156,Clear Skies,Day,12.066666666666666,Spring,69.206512,10.155017,0.316172,"Temperate Grasslands, Savannas & Shrublands",Nearctic,2
4649,4649,54_104001003D4C9C00_tile_745,54_104001003D4C9C00,54,USA,Florida,Miami International Airport,25.7949789,-80.28672341095405,Cloud Cover or Haze,Day,12.583333333333334,Summer,79.01855,23.286707,0.352216,Flooded Grasslands & Savannas,Neotropic,3
4827,4827,55_1040010048841900_tile_350,55_1040010048841900,55,Sudan,Khartoum State,Khartoum Airport,15.2909364,32.3597589,Clear Skies,Day,10.983333333333333,Winter,51.654938,26.972872,0.3745925,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,1
7831,7831,94_104001003DA55300_tile_42,94_104001003DA55300,94,USA,Massachusetts,Mansfield Municipal Airport,42.0010973,-71.19950499231985,Clear Skies,Day,11.966666666666669,Spring,67.66815,22.494032,0.3386985,Temperate Broadleaf & Mixed Forests,Nearctic,2
