Unnamed: 0,id,A,B,C,D,lab
0,0,a2,"[10.0,20.0)",c2,d4,l3
1,1,a2,"[10.0,20.0)",c3,d3,l2
2,2,a1,"[10.0,20.0)",c1,d1,l1
3,3,a2,"[20.0,30.0]",c3,d3,l1
4,4,a2,"[20.0,30.0]",c2,d1,l1
5,5,a1,"[20.0,30.0]",c3,d2,l2
6,6,a2,"[10.0,20.0)",c3,d2,l3
7,7,a2,"[0.0,10.0)",c3,d3,l2
8,8,a1,"[0.0,10.0)",c2,d1,l3
9,9,a2,"[20.0,30.0]",c2,d4,l2
10,10,a2,"[20.0,30.0]",c2,d2,l3
11,11,a2,"[0.0,10.0)",c2,d2,l2
12,12,a2,"[10.0,20.0)",c2,d2,l3
13,13,a2,"[20.0,30.0]",c3,d2,l1
14,14,a2,"[0.0,10.0)",c2,d3,l1
15,15,a2,"[0.0,10.0)",c1,d3,l2
16,16,a1,"[0.0,10.0)",c2,d3,l3
17,17,a2,"[0.0,10.0)",c2,d1,l2
18,18,a2,"[0.0,10.0)",c1,d1,l1
19,19,a1,"[20.0,30.0]",c2,d4,l3
20,20,a1,"[0.0,10.0)",c2,d2,l2
21,21,a2,"[0.0,10.0)",c3,d3,l1
22,22,a1,"[0.0,10.0)",c2,d4,l3
23,23,a2,"[0.0,10.0)",c2,d1,l1
24,24,a2,"[0.0,10.0)",c1,d3,l3
25,25,a1,"[0.0,10.0)",c3,d3,l2
26,26,a1,"[0.0,10.0)",c2,d1,l1
27,27,a1,"[0.0,10.0)",c1,d2,l3
28,28,a1,"[20.0,30.0]",c2,d2,l1
29,29,a2,"[10.0,20.0)",c3,d3,l3
30,30,a2,"[0.0,10.0)",c2,d4,l2
31,31,a1,"[20.0,30.0]",c2,d3,l3
32,32,a1,"[10.0,20.0)",c1,d2,l1
33,33,a2,"[0.0,10.0)",c3,d2,l2
34,34,a1,"[0.0,10.0)",c2,d4,l1
35,35,a2,"[10.0,20.0)",c3,d3,l2
36,36,a1,"[20.0,30.0]",c3,d3,l1
37,37,a1,"[0.0,10.0)",c3,d4,l3
38,38,a2,"[20.0,30.0]",c2,d4,l3
39,39,a2,"[10.0,20.0)",c1,d3,l2
40,40,a2,"[0.0,10.0)",c1,d3,l1
41,41,a1,"[0.0,10.0)",c1,d4,l1
42,42,a2,"[0.0,10.0)",c2,d1,l2
43,43,a2,"[20.0,30.0]",c3,d3,l1
44,44,a1,"[10.0,20.0)",c1,d1,l2
45,45,a1,"[10.0,20.0)",c2,d3,l2
46,46,a1,"[10.0,20.0)",c3,d1,l1
47,47,a1,"[20.0,30.0]",c1,d1,l1
48,48,a2,"[20.0,30.0]",c1,d1,l3
49,49,a1,"[0.0,10.0)",c3,d3,l3
50,50,a2,"[20.0,30.0]",c1,d1,l1
51,51,a2,"[20.0,30.0]",c2,d1,l2
52,52,a2,"[20.0,30.0]",c2,d4,l2
53,53,a2,"[20.0,30.0]",c1,d2,l3
54,54,a1,"[20.0,30.0]",c3,d2,l1
55,55,a2,"[20.0,30.0]",c2,d3,l3
