,id,A,B,C,D,lab
0,0,a1,b2,c1,d3,l1
1,1,a2,b1,c2,d2,l2
2,2,a1,b2,c3,d3,l3
3,3,a1,b1,c2,d1,l2
4,4,a1,b2,c2,d3,l3
5,5,a1,b1,c3,d2,l1
6,6,a1,b1,c2,d2,l2
7,7,a1,b1,c2,d1,l2
8,8,a2,b2,c3,d2,l2
9,9,a2,b1,c3,d1,l1
10,10,a2,b1,c3,d2,l3
11,11,a2,b2,c2,d2,l1
12,12,a2,b2,c3,d1,l3
13,13,a1,b1,c2,d1,l2
14,14,a1,b2,c2,d2,l2
15,15,a2,b2,c3,d3,l3
16,16,a2,b1,c1,d2,l1
17,17,a2,b2,c2,d3,l3
18,18,a1,b1,c3,d1,l1
19,19,a1,b1,c3,d3,l1
20,20,a1,b1,c1,d2,l2
21,21,a1,b2,c3,d2,l1
22,22,a2,b2,c2,d4,l1
23,23,a2,b1,c3,d2,l1
24,24,a2,b2,c2,d3,l3
25,25,a2,b2,c2,d2,l2
26,26,a1,b2,c3,d2,l1
27,27,a2,b2,c3,d2,l3
28,28,a1,b1,c2,d1,l1
29,29,a1,b1,c1,d3,l1
30,30,a2,b2,c2,d3,l2
31,31,a1,b1,c1,d3,l2
32,32,a2,b2,c1,d1,l2
33,33,a2,b1,c1,d3,l3
34,34,a1,b2,c3,d4,l1
35,35,a2,b2,c1,d4,l3
36,36,a1,b1,c2,d3,l2
37,37,a2,b1,c1,d1,l3
38,38,a2,b1,c1,d3,l1
39,39,a1,b2,c3,d4,l2
40,40,a2,b2,c3,d2,l3
41,41,a2,b1,c3,d1,l3
42,42,a1,b1,c1,d2,l2
43,43,a1,b1,c3,d1,l1
44,44,a2,b1,c1,d4,l1
45,45,a1,b1,c3,d4,l2
46,46,a2,b2,c3,d2,l3
47,47,a2,b2,c1,d4,l1
48,48,a2,b2,c1,d4,l2
49,49,a1,b1,c1,d2,l1
50,50,a2,b1,c2,d3,l1
51,51,a1,b2,c3,d4,l2
52,52,a2,b2,c3,d4,l2
53,53,a1,b2,c3,d3,l3
54,54,a1,b2,c3,d4,l1
55,55,a1,b2,c3,d4,l3
56,56,a2,b2,c1,d4,l3
57,57,a2,b2,c2,d1,l3
58,58,a2,b1,c3,d3,l3
59,59,a2,b2,c1,d4,l1
60,60,a2,b1,c1,d1,l1
61,61,a1,b2,c3,d2,l2
62,62,a1,b2,c2,d1,l2
63,63,a1,b1,c3,d1,l3
64,64,a2,b2,c3,d2,l3
65,65,a2,b2,c2,d2,l3
66,66,a1,b2,c1,d4,l3
67,67,a1,b1,c3,d2,l2
68,68,a2,b1,c2,d3,l2
69,69,a1,b1,c1,d4,l3
70,70,a1,b2,c2,d2,l2
71,71,a2,b2,c1,d3,l1
72,72,a2,b1,c2,d2,l1
73,73,a1,b1,c3,d1,l2
74,74,a2,b2,c3,d3,l3
75,75,a2,b2,c1,d3,l1
76,76,a1,b1,c1,d1,l1
77,77,a2,b1,c1,d1,l1
78,78,a1,b2,c2,d4,l1
79,79,a1,b2,c2,d2,l3
80,80,a1,b2,c2,d3,l1
81,81,a1,b2,c1,d3,l1
82,82,a2,b1,c2,d1,l1
83,83,a2,b1,c2,d1,l2
84,84,a2,b2,c3,d4,l3
85,85,a2,b2,c1,d3,l2
86,86,a1,b1,c2,d4,l1
87,87,a1,b1,c1,d3,l1
88,88,a1,b1,c3,d1,l2
89,89,a2,b1,c2,d1,l1
90,90,a2,b2,c3,d2,l3
91,91,a2,b2,c2,d2,l3
92,92,a1,b1,c1,d3,l2
93,93,a2,b2,c3,d3,l3
94,94,a2,b1,c1,d2,l1
95,95,a2,b1,c1,d3,l3
96,96,a2,b1,c2,d4,l2
97,97,a2,b1,c2,d3,l2
98,98,a2,b2,c1,d1,l3
99,99,a1,b1,c3,d2,l2
100,100,a1,b1,c2,d3,l1
101,101,a2,b2,c3,d4,l2
102,102,a2,b2,c1,d1,l3
103,103,a1,b1,c2,d1,l3
104,104,a2,b1,c1,d1,l1
105,105,a1,b1,c3,d1,l2
106,106,a2,b1,c2,d2,l1
107,107,a2,b1,c3,d1,l1
108,108,a1,b2,c3,d4,l1
109,109,a1,b2,c2,d4,l2
110,110,a1,b1,c3,d2,l1
111,111,a1,b2,c1,d2,l3
112,112,a2,b2,c2,d2,l3
113,113,a1,b2,c1,d1,l3
114,114,a1,b1,c1,d3,l2
115,115,a1,b2,c2,d3,l1
116,116,a1,b1,c3,d1,l2
117,117,a1,b2,c2,d1,l2
118,118,a2,b2,c3,d3,l2
119,119,a2,b2,c3,d1,l2
120,120,a2,b2,c3,d1,l2
121,121,a2,b1,c2,d2,l2
122,122,a1,b2,c3,d2,l2
123,123,a1,b2,c3,d3,l3
124,124,a2,b2,c3,d1,l2
125,125,a1,b1,c3,d1,l1
126,126,a2,b1,c3,d2,l3
127,127,a2,b2,c2,d3,l1
128,128,a1,b1,c1,d4,l2
129,129,a1,b1,c3,d3,l1
130,130,a2,b2,c3,d3,l3
131,131,a1,b1,c2,d4,l1
132,132,a1,b1,c3,d1,l3
133,133,a2,b1,c2,d3,l1
134,134,a1,b1,c3,d2,l1
135,135,a2,b1,c3,d4,l1
136,136,a2,b2,c3,d4,l2
137,137,a2,b2,c3,d2,l1
138,138,a2,b2,c3,d3,l1
139,139,a1,b2,c1,d1,l2
140,140,a1,b1,c3,d2,l2
141,141,a1,b2,c1,d1,l2
142,142,a1,b1,c1,d3,l2
143,143,a2,b2,c2,d1,l3
144,144,a2,b2,c1,d1,l3
145,145,a1,b2,c1,d2,l2
146,146,a1,b2,c2,d4,l2
147,147,a1,b2,c1,d3,l2
148,148,a2,b2,c3,d4,l3
149,149,a1,b1,c3,d3,l2
150,150,a1,b2,c1,d4,l1
151,151,a1,b1,c2,d3,l2
152,152,a1,b1,c2,d1,l3
153,153,a1,b2,c3,d4,l1
154,154,a2,b1,c1,d1,l3
155,155,a2,b1,c3,d2,l3
156,156,a2,b1,c2,d2,l1
157,157,a2,b1,c1,d2,l2
158,158,a1,b1,c3,d2,l1
159,159,a2,b1,c2,d3,l1
160,160,a1,b2,c3,d4,l1
161,161,a1,b1,c1,d2,l3
162,162,a1,b1,c1,d3,l2
163,163,a1,b2,c3,d4,l2
