image_tile_id,image_id,loc_id,Country,State_Province,Air_Field,Latitude,Longitude,Weather,Time_of_Day,Hour_of_Day,Season,avg_sun_elevation_angle,off_nadir_max,avg_pan_resolution,biome,realm,CONTROL
84_1040010049B46C00_tile_202,84_1040010049B46C00,84,USA,Florida,Fort Lauderdale-Hollywood International Airport,26.072017,-80.15099673135214,Cloud Cover or Haze,Day,"[11.27,12.28)",Spring,54.206795,"(21,30]","(0.3729495,0.41]",Flooded Grasslands & Savannas,Neotropic,3
67_104001003F0B3200_tile_679,67_104001003F0B3200,67,USA,Utah,Salt Lake City International Airport,40.7900661,-111.97989846185592,Clear Skies,Day,"[12.28,13.29)",Summer,71.38067,"(12,21]","[0.3419495,0.3729495]",Deserts & Xeric Shrublands,Nearctic,3
130_104001002E47CD00_tile_1090,130_104001002E47CD00,130,USA,Pennsylvania,Philadelphia International Airport,39.875018,-75.23521278969667,Cloud Cover or Haze,Day,"[11.27,12.28)",Summer,69.64022,"(21,30]","(0.3729495,0.41]","Temperate Grasslands, Savannas & Shrublands",Nearctic,3
57_10400100379F8200_tile_137,57_10400100379F8200,57,USA,Florida,Vero Beach Municipal Airport,27.65721495,-80.41832980247389,Cloud Cover or Haze,Day,"[10.26,11.27)",Winter,38.286674,"(21,30]","(0.3729495,0.41]","Temperate Grasslands, Savannas & Shrublands",Nearctic,3
109_10400100168E2A00_tile_33,109_10400100168E2A00,109,USA,Oregon,Scappoose Industrial Airpark,45.77189665,-122.86323864519883,Clear Skies,Day,"[11.27,12.28)",Winter,22.032475,"(21,30]","[0.3419495,0.3729495]","Temperate Grasslands, Savannas & Shrublands",Nearctic,1
9_10400100310B0100_tile_140,9_10400100310B0100,9,France,Ile-de-France,Aérodrome de Toussus-le-Noble,48.75184575,2.1072688321992112,Clear Skies,Day,"[12.28,13.29)",Summer,49.582233,"(21,30]","(0.3729495,0.41]",Temperate Broadleaf & Mixed Forests,Palearctic,3
124_104001001F2A5700_tile_212,124_104001001F2A5700,124,USA,California,Truckee-Tahoe Airport,39.318085100000005,-120.1381024513568,Clear Skies,Day,"[11.27,12.28)",Summer,69.693192,"[3,12]","(0.31,0.3419495)",Temperate Conifer Forests,Nearctic,2
42_10400100055EA300_tile_1392,42_10400100055EA300,42,USA,Michigan,Detroit Metropolitan Wayne County Airport,42.2056991,-83.35297537621658,Cloud Cover or Haze,Day,"[11.27,12.28)",Winter,22.87093,"(21,30]","[0.3419495,0.3729495]",Temperate Broadleaf & Mixed Forests,Nearctic,1
66_104001003BA94300_tile_52,66_104001003BA94300,66,USA,Arizona,Marana Regional Airport,32.4113732,-111.21748791631757,Clear Skies,Day,"[11.27,12.28)",Spring,69.738846,"(21,30]","(0.31,0.3419495)",Deserts & Xeric Shrublands,Nearctic,2
84_1040010049B46C00_tile_228,84_1040010049B46C00,84,USA,Florida,Fort Lauderdale-Hollywood International Airport,26.072017,-80.15099673135214,Cloud Cover or Haze,Day,"[11.27,12.28)",Spring,54.206795,"(21,30]","(0.3729495,0.41]",Flooded Grasslands & Savannas,Neotropic,3
