,id,A,B,C,D,lab
0,0,a1,b1,c1,d1,l1
1,1,a1,b1,c1,d1,l2
2,2,a1,b1,c1,d1,l3
3,6,a1,b1,c1,d3,l1
4,7,a1,b1,c1,d3,l2
5,8,a1,b1,c1,d3,l3
6,9,a1,b1,c1,d4,l1
7,10,a1,b1,c1,d4,l2
8,11,a1,b1,c1,d4,l3
9,12,a1,b1,c2,d1,l1
10,13,a1,b1,c2,d1,l2
11,14,a1,b1,c2,d1,l3
12,18,a1,b1,c2,d3,l1
13,19,a1,b1,c2,d3,l2
14,20,a1,b1,c2,d3,l3
15,21,a1,b1,c2,d4,l1
16,22,a1,b1,c2,d4,l2
17,23,a1,b1,c2,d4,l3
18,24,a1,b1,c3,d1,l1
19,25,a1,b1,c3,d1,l2
20,26,a1,b1,c3,d1,l3
21,30,a1,b1,c3,d3,l1
22,31,a1,b1,c3,d3,l2
23,32,a1,b1,c3,d3,l3
24,33,a1,b1,c3,d4,l1
25,34,a1,b1,c3,d4,l2
26,35,a1,b1,c3,d4,l3
27,36,a1,b2,c1,d1,l1
28,37,a1,b2,c1,d1,l2
29,38,a1,b2,c1,d1,l3
30,39,a1,b2,c1,d2,l1
31,40,a1,b2,c1,d2,l2
32,41,a1,b2,c1,d2,l3
33,42,a1,b2,c1,d3,l1
34,43,a1,b2,c1,d3,l2
35,44,a1,b2,c1,d3,l3
36,45,a1,b2,c1,d4,l1
37,46,a1,b2,c1,d4,l2
38,47,a1,b2,c1,d4,l3
39,48,a1,b2,c2,d1,l1
40,49,a1,b2,c2,d1,l2
41,50,a1,b2,c2,d1,l3
42,51,a1,b2,c2,d2,l1
43,52,a1,b2,c2,d2,l2
44,53,a1,b2,c2,d2,l3
45,54,a1,b2,c2,d3,l1
46,55,a1,b2,c2,d3,l2
47,56,a1,b2,c2,d3,l3
48,57,a1,b2,c2,d4,l1
49,58,a1,b2,c2,d4,l2
50,59,a1,b2,c2,d4,l3
51,60,a1,b2,c3,d1,l1
52,61,a1,b2,c3,d1,l2
53,62,a1,b2,c3,d1,l3
54,63,a1,b2,c3,d2,l1
55,64,a1,b2,c3,d2,l2
56,65,a1,b2,c3,d2,l3
57,66,a1,b2,c3,d3,l1
58,67,a1,b2,c3,d3,l2
59,68,a1,b2,c3,d3,l3
60,69,a1,b2,c3,d4,l1
61,70,a1,b2,c3,d4,l2
62,71,a1,b2,c3,d4,l3
63,72,a2,b1,c1,d1,l1
64,73,a2,b1,c1,d1,l2
65,74,a2,b1,c1,d1,l3
66,78,a2,b1,c1,d3,l1
67,79,a2,b1,c1,d3,l2
68,80,a2,b1,c1,d3,l3
69,81,a2,b1,c1,d4,l1
70,82,a2,b1,c1,d4,l2
71,83,a2,b1,c1,d4,l3
72,84,a2,b1,c2,d1,l1
73,85,a2,b1,c2,d1,l2
74,86,a2,b1,c2,d1,l3
75,90,a2,b1,c2,d3,l1
76,91,a2,b1,c2,d3,l2
77,92,a2,b1,c2,d3,l3
78,93,a2,b1,c2,d4,l1
79,94,a2,b1,c2,d4,l2
80,95,a2,b1,c2,d4,l3
81,96,a2,b1,c3,d1,l1
82,97,a2,b1,c3,d1,l2
83,98,a2,b1,c3,d1,l3
84,102,a2,b1,c3,d3,l1
85,103,a2,b1,c3,d3,l2
86,104,a2,b1,c3,d3,l3
87,105,a2,b1,c3,d4,l1
88,106,a2,b1,c3,d4,l2
89,107,a2,b1,c3,d4,l3
90,108,a2,b2,c1,d1,l1
91,109,a2,b2,c1,d1,l2
92,110,a2,b2,c1,d1,l3
93,111,a2,b2,c1,d2,l1
94,112,a2,b2,c1,d2,l2
95,113,a2,b2,c1,d2,l3
96,114,a2,b2,c1,d3,l1
97,115,a2,b2,c1,d3,l2
98,116,a2,b2,c1,d3,l3
99,117,a2,b2,c1,d4,l1
100,118,a2,b2,c1,d4,l2
101,119,a2,b2,c1,d4,l3
102,120,a2,b2,c2,d1,l1
103,121,a2,b2,c2,d1,l2
104,122,a2,b2,c2,d1,l3
105,123,a2,b2,c2,d2,l1
106,124,a2,b2,c2,d2,l2
107,125,a2,b2,c2,d2,l3
108,126,a2,b2,c2,d3,l1
109,127,a2,b2,c2,d3,l2
110,128,a2,b2,c2,d3,l3
111,129,a2,b2,c2,d4,l1
112,130,a2,b2,c2,d4,l2
113,131,a2,b2,c2,d4,l3
114,132,a2,b2,c3,d1,l1
115,133,a2,b2,c3,d1,l2
116,134,a2,b2,c3,d1,l3
117,135,a2,b2,c3,d2,l1
118,136,a2,b2,c3,d2,l2
119,137,a2,b2,c3,d2,l3
120,138,a2,b2,c3,d3,l1
121,139,a2,b2,c3,d3,l2
122,140,a2,b2,c3,d3,l3
123,141,a2,b2,c3,d4,l1
124,142,a2,b2,c3,d4,l2
125,143,a2,b2,c3,d4,l3
