image_tile_id,image_id,loc_id,Country,State_Province,Air_Field,Latitude,Longitude,Weather,Time_of_Day,Hour_of_Day,Season,avg_sun_elevation_angle,off_nadir_max,avg_pan_resolution,biome,realm,CONTROL
94_1040010031916400_tile_41,94_1040010031916400,94,USA,Massachusetts,Mansfield Municipal Airport,42.0010973,-71.19950499231985,Clear Skies,Day,"[11.27,12.28)",Summer,61.53425,16.197319,"(0.31,0.3419495)",Temperate Broadleaf & Mixed Forests,Nearctic,1
53_1040010008249C00_tile_174,53_1040010008249C00,53,USA,West Virginia,Yeager Airport,38.37294755,-81.5942197333228,Snow,Day,"[11.27,12.28)",Spring,43.785652,21.382929,"[0.3419495,0.3729495]",Temperate Broadleaf & Mixed Forests,Nearctic,2
54_10400100460EF400_tile_533,54_10400100460EF400,54,USA,Florida,Miami International Airport,25.7949789,-80.28672341095405,Clear Skies,Day,"[11.27,12.28)",Winter,41.25408,28.453,"(0.3729495,0.41]",Flooded Grasslands & Savannas,Neotropic,2
114_104001000A497900_tile_634,114_104001000A497900,114,USA,Virginia,Richmond International Airport,37.5069667,-77.32148389043365,Clear Skies,Day,"[11.27,12.28)",Spring,57.421711,23.691565,"(0.31,0.3419495)","Temperate Grasslands, Savannas & Shrublands",Nearctic,1
54_1040010024086400_tile_762,54_1040010024086400,54,USA,Florida,Miami International Airport,25.7949789,-80.28672341095405,Cloud Cover or Haze,Day,"[11.27,12.28)",Autumn,45.31551,22.079554,"[0.3419495,0.3729495]",Flooded Grasslands & Savannas,Neotropic,3
4_10400100360CD600_tile_672,4_10400100360CD600,4,USA,Washington,Seattle-Tacoma International Airport,47.4475673,-122.3080158569515,Clear Skies,Day,"[11.27,12.28)",Winter,18.52492,27.114475,"(0.3729495,0.41]",Temperate Conifer Forests,Nearctic,3
96_104001003C8C7800_tile_1019,96_104001003C8C7800,96,USA,Alaska,Fairbanks International Airport,64.81761,-147.86784231862563,Clear Skies,Day,"[13.29,14.3)",Spring,43.191658,26.444286,"(0.3729495,0.41]",Boreal Forests/Taiga,Nearctic,2
57_104001001CBF9900_tile_229,57_104001001CBF9900,57,USA,Florida,Vero Beach Municipal Airport,27.65721495,-80.41832980247389,Clear Skies,Day,"[12.28,13.29)",Spring,73.804192,17.772799,"(0.31,0.3419495)","Temperate Grasslands, Savannas & Shrublands",Nearctic,1
69_104005000CDBE200_tile_4253,69_104005000CDBE200,69,France,Ile-de-France,Tremblay-en-France Airport,49.0068908,2.571081969101916,Clear Skies,Day,"[12.28,13.29)",Autumn,46.01923,17.414585,"(0.31,0.3419495)",Temperate Broadleaf & Mixed Forests,Palearctic,1
108_1040010043890900_tile_69,108_1040010043890900,108,USA,Florida,Palm Beach County Park Airport,26.59344965,-80.0853220050412,Clear Skies,Day,"[12.28,13.29)",Autumn,59.32623,17.182943,"(0.31,0.3419495)",Flooded Grasslands & Savannas,Neotropic,1
10_1040010039679A00_tile_40,10_1040010039679A00,10,France,Occitania,Aéroport de Montpellier,43.5789823,3.9583008,Clear Skies,Day,"[11.27,12.28)",Spring,37.734722,28.781458,"(0.3729495,0.41]","Mediterranean Forests, Woodlands & Scrub",Palearctic,2
67_1040010046D15B00_tile_904,67_1040010046D15B00,67,USA,Utah,Salt Lake City International Airport,40.7900661,-111.97989846185592,Cloud Cover or Haze,Day,"[11.27,12.28)",Winter,36.111862,8.907067,"(0.31,0.3419495)",Deserts & Xeric Shrublands,Nearctic,3
60_1040010046430200_tile_375,60_1040010046430200,60,USA,Arizona,Phoenix Sky Harbor International Airport,33.43284865,-112.00679145657892,Clear Skies,Day,"[11.27,12.28)",Winter,40.206764,16.53186,"(0.31,0.3419495)",Deserts & Xeric Shrublands,Nearctic,2
108_1040010043890900_tile_59,108_1040010043890900,108,USA,Florida,Palm Beach County Park Airport,26.59344965,-80.0853220050412,Clear Skies,Day,"[12.28,13.29)",Autumn,59.32623,17.182943,"(0.31,0.3419495)",Flooded Grasslands & Savannas,Neotropic,1
50_10400100350A5200_tile_125,50_10400100350A5200,50,USA,Connecticut,Tweed New Haven Airport,41.2626111,-72.88563547283547,Clear Skies,Day,"[10.26,11.27)",Winter,25.587347,19.278543,"(0.31,0.3419495)",Temperate Broadleaf & Mixed Forests,Nearctic,2
91_1040010039040600_tile_168,91_1040010039040600,91,USA,Oklahoma,Richard Lloyd Jones Junior Airport,36.0395108,-95.98526285962684,Clear Skies,Day,"[11.27,12.28)",Winter,43.592194,11.435417,"(0.31,0.3419495)","Temperate Grasslands, Savannas & Shrublands",Nearctic,3
31_104001002809DA00_tile_245,31_104001002809DA00,31,India,Maharshtra,Chhatrapati Shivaji Maharaj International Airport,19.09015275,72.86371349380883,Clear Skies,Day,"[11.27,12.28)",Winter,55.809578,29.00387,"(0.3729495,0.41]",Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,3
96_104001000896F900_tile_942,96_104001000896F900,96,USA,Alaska,Fairbanks International Airport,64.81761,-147.86784231862563,Snow,Day,"[11.27,12.28)",Spring,17.321293,25.172054,"[0.3419495,0.3729495]",Boreal Forests/Taiga,Nearctic,3
