Unnamed: 0,image_tile_id,image_id,loc_id,Country,State_Province,Air_Field,Latitude,Longitude,Weather,Time_of_Day,Hour_of_Day,Season,avg_sun_elevation_angle,off_nadir_max,avg_pan_resolution,biome,realm,CONTROL
4,6_104001003153D300_tile_348,6_104001003153D300,6,Denmark,Roskilde,Roskilde Airport,55.5858236,12.132685539683798,Clear Skies,Day,12.983333333333333,Summer,47.914566,15.45782,0.3294785,Temperate Broadleaf & Mixed Forests,Palearctic,2
50,13_104001001A99E200_tile_29,13_104001001A99E200,13,Germany,Bavaria,Flugplatz Antersberg,47.962454300000005,11.996405932279275,Clear Skies,Day,12.4,Spring,43.965038,14.713595,0.327598,Temperate Broadleaf & Mixed Forests,Palearctic,3
107,100_1040010029990A00_tile_333,100_1040010029990A00,100,USA,Montana,Billings Logan International Airport,45.80923485,-108.54767517885944,Snow,Day,12.7,Spring,40.814545,27.08286,0.375229,"Temperate Grasslands, Savannas & Shrublands",Nearctic,3
118,67_104001003F0B3200_tile_682,67_104001003F0B3200,67,USA,Utah,Salt Lake City International Airport,40.7900661,-111.97989846185592,Clear Skies,Day,12.933333333333334,Summer,71.38067,19.613453,0.3421295,Deserts & Xeric Shrublands,Nearctic,2
142,45_1040010044AFF200_tile_44,45_1040010044AFF200,45,USA,Virginia,Manassas Regional Airport,38.721019600000005,-77.51462836591449,Clear Skies,Day,12.35,Autumn,36.99876,9.989432,0.3168075,Temperate Broadleaf & Mixed Forests,Nearctic,2
147,26_104001002E574100_tile_1733,26_104001002E574100,26,Denmark,Capital Region,Københavns Lufthavn,55.6091282,12.650982248393536,Cloud Cover or Haze,Day,12.733333333333333,Summer,57.534313,8.153548,0.316306,Temperate Broadleaf & Mixed Forests,Palearctic,1
183,77_1040010040119E00_tile_812,77_1040010040119E00,77,USA,Georgia,Hartsfield - Jackson Atlanta International Airport,33.63779875,-84.42927118585675,Clear Skies,Day,12.65,Summer,69.28755,26.910341,0.3770965,Temperate Broadleaf & Mixed Forests,Nearctic,1
185,86_1040010044D30600_tile_321,86_1040010044D30600,86,USA,Florida,Palm Beach International Airport,26.6859478,-80.09248650717163,Clear Skies,Day,12.55,Autumn,52.90882,19.142824,0.337756,Flooded Grasslands & Savannas,Neotropic,3
199,26_104001002E574100_tile_1225,26_104001002E574100,26,Denmark,Capital Region,Københavns Lufthavn,55.6091282,12.650982248393536,Cloud Cover or Haze,Day,12.733333333333333,Summer,57.534313,8.153548,0.316306,Temperate Broadleaf & Mixed Forests,Palearctic,2
208,3_10400100202B8A00_tile_57,3_10400100202B8A00,3,Bahamas,Central Abaco,Leonard M. Thompson International Airport,26.5113679,-77.08448974519862,Clear Skies,Day,12.333333333333334,Summer,75.868103,28.753201,0.389047,Tropical & Subtropical Coniferous Forests,Neotropic,2
