Unnamed: 0,image_tile_id,image_id,loc_id,Country,State_Province,Air_Field,Latitude,Longitude,Weather,Time_of_Day,Hour_of_Day,Season,avg_sun_elevation_angle,off_nadir_max,avg_pan_resolution,biome,realm,CONTROL
5,20_1040010038CAE700_tile_123,20_1040010038CAE700,20,Germany,Bavaria,Airport Nuremberg,49.49826845,11.078106331160273,Clear Skies,Day,11.533333333333331,Spring,32.274555,24.380602,0.361652,Temperate Broadleaf & Mixed Forests,Palearctic,3
30,118_1040010023C25400_tile_729,118_1040010023C25400,118,USA,Wisconsin,General Mitchell International Airport,42.9465423,-87.89725778714413,Clear Skies,Day,12.05,Autumn,40.415581,12.72849,0.323286,"Temperate Grasslands, Savannas & Shrublands",Nearctic,1
62,20_1040010038CAE700_tile_107,20_1040010038CAE700,20,Germany,Bavaria,Airport Nuremberg,49.49826845,11.078106331160273,Clear Skies,Day,11.533333333333331,Spring,32.274555,24.380602,0.361652,Temperate Broadleaf & Mixed Forests,Palearctic,3
105,116_1040010012CE4600_tile_122,116_1040010012CE4600,116,USA,Idaho,Lewiston Airport,46.37573125,-117.01550302887456,Clear Skies,Day,11.716666666666669,Autumn,35.779686,28.508715,0.3843155,"Temperate Grasslands, Savannas & Shrublands",Nearctic,1
111,44_104001004337F600_tile_48,44_104001004337F600,44,USA,Nevada,Henderson Executive Airport,35.97313425,-115.13607563609398,Clear Skies,Day,11.666666666666666,Autumn,51.45992,29.32649,0.3920025,Deserts & Xeric Shrublands,Nearctic,1
149,67_1040010046D15B00_tile_777,67_1040010046D15B00,67,USA,Utah,Salt Lake City International Airport,40.7900661,-111.97989846185592,Cloud Cover or Haze,Day,11.8,Winter,36.111862,8.907067,0.3152905,Deserts & Xeric Shrublands,Nearctic,3
154,111_1040010028163500_tile_573,111_1040010028163500,111,USA,New Mexico,Double Eagle II Airport,35.14189225,-106.8072873431168,Clear Skies,Day,11.283333333333331,Spring,46.497738,9.674176,0.316015,Deserts & Xeric Shrublands,Nearctic,2
193,44_104001004337F600_tile_52,44_104001004337F600,44,USA,Nevada,Henderson Executive Airport,35.97313425,-115.13607563609398,Clear Skies,Day,11.666666666666666,Autumn,51.45992,29.32649,0.3920025,Deserts & Xeric Shrublands,Nearctic,2
268,67_1040010048B5A300_tile_1237,67_1040010048B5A300,67,USA,Utah,Salt Lake City International Airport,40.7900661,-111.97989846185592,Snow,Day,11.866666666666667,Winter,34.293247,22.373234,0.353311,Deserts & Xeric Shrublands,Nearctic,2
298,43_104001000BA11B00_tile_42,43_104001000BA11B00,43,USA,Mississippi,Cleveland Municipal Airport,30.3602185,-95.00891276120336,Clear Skies,Day,12.066666666666666,Spring,68.887367,20.950293,0.3431225,Temperate Conifer Forests,Nearctic,2
332,31_104001002809DA00_tile_244,31_104001002809DA00,31,India,Maharshtra,Chhatrapati Shivaji Maharaj International Airport,19.09015275,72.86371349380883,Clear Skies,Day,11.866666666666667,Winter,55.809578,29.00387,0.3900255,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,3
354,118_1040010023C25400_tile_1074,118_1040010023C25400,118,USA,Wisconsin,General Mitchell International Airport,42.9465423,-87.89725778714413,Clear Skies,Day,12.05,Autumn,40.415581,12.72849,0.323286,"Temperate Grasslands, Savannas & Shrublands",Nearctic,1
357,49_104001001A248400_tile_115,49_104001001A248400,49,USA,Arizona,Casa Grande Municipal Airport,32.9548889,-111.7668333,Clear Skies,Day,11.466666666666669,Spring,52.412498,24.224253,0.360793,Deserts & Xeric Shrublands,Nearctic,1
362,124_104001001F2A5700_tile_345,124_104001001F2A5700,124,USA,California,Truckee-Tahoe Airport,39.318085100000005,-120.1381024513568,Clear Skies,Day,12.116666666666667,Summer,69.693192,9.987,0.3173755,Temperate Conifer Forests,Nearctic,3
385,93_104001002A4FAA00_tile_1232,93_104001002A4FAA00,93,USA,Kentucky,Cincinnati/Northern Kentucky International Airport,39.04990715,-84.66516172504984,Clear Skies,Day,11.933333333333334,Spring,43.621048,26.912125,0.3737549999999999,Temperate Broadleaf & Mixed Forests,Nearctic,2
393,113_10400100460EF400_tile_22,113_10400100460EF400,113,USA,Florida,Pompano Beach Airpark,26.24909545,-80.1139574586896,Clear Skies,Day,11.583333333333334,Winter,41.25408,28.453,0.383542,Flooded Grasslands & Savannas,Neotropic,1
524,51_10400100460EF400_tile_218,51_10400100460EF400,51,USA,Florida,Opa-locka Executive Airport,25.90619265,-80.27515077349665,Clear Skies,Day,11.583333333333334,Winter,41.25408,28.453,0.383542,Flooded Grasslands & Savannas,Neotropic,3
546,93_104001000493AA00_tile_1633,93_104001000493AA00,93,USA,Kentucky,Cincinnati/Northern Kentucky International Airport,39.04990715,-84.66516172504984,Clear Skies,Day,11.583333333333334,Autumn,33.011223,22.335035,0.349198,Temperate Broadleaf & Mixed Forests,Nearctic,1
565,96_104001000896F900_tile_890,96_104001000896F900,96,USA,Alaska,Fairbanks International Airport,64.81761,-147.86784231862563,Snow,Day,12.266666666666667,Spring,17.321293,25.172054,0.372064,Boreal Forests/Taiga,Nearctic,2
571,96_104001000896F900_tile_394,96_104001000896F900,96,USA,Alaska,Fairbanks International Airport,64.81761,-147.86784231862563,Snow,Day,12.266666666666667,Spring,17.321293,25.172054,0.372064,Boreal Forests/Taiga,Nearctic,2
591,128_1040010032BA9100_tile_2104,128_1040010032BA9100,128,USA,Missouri,St. Louis Lambert International Airport,38.74962725,-90.37047024952082,Clear Skies,Day,12.2,Autumn,41.63074,20.564857,0.3473665,"Temperate Grasslands, Savannas & Shrublands",Nearctic,1
