image_tile_id,image_id,loc_id,Country,State_Province,Air_Field,Latitude,Longitude,Weather,Time_of_Day,Hour_of_Day,Season,avg_sun_elevation_angle,off_nadir_max,avg_pan_resolution,biome,realm,CONTROL
127_104001002B3BB400_tile_775,127_104001002B3BB400,127,USA,Puerto Rico,Luis Munoz Marin International Airport,18.44319945,-65.99743036847468,Clear Skies,Day,"[11.27,12.28)",Spring,70.58651,"[3,12]","(0.31,0.3419495)",Mangroves,Neotropic,1
45_104001000E6AB500_tile_24,45_104001000E6AB500,45,USA,Virginia,Manassas Regional Airport,38.721019600000005,-77.51462836591449,Clear Skies,Day,"[11.27,12.28)",Summer,68.123306,"(12,21]","(0.31,0.3419495)",Temperate Broadleaf & Mixed Forests,Nearctic,2
67_1040010046D15B00_tile_904,67_1040010046D15B00,67,USA,Utah,Salt Lake City International Airport,40.7900661,-111.97989846185592,Cloud Cover or Haze,Day,"[11.27,12.28)",Winter,36.111862,"[3,12]","(0.31,0.3419495)",Deserts & Xeric Shrublands,Nearctic,3
126_104001000C4AEE00_tile_1325,126_104001000C4AEE00,126,PRC,Shanghai,Shanghai Pudong International Airport,31.1427359,121.80411312160436,Clear Skies,Day,"[10.26,11.27)",Summer,71.240685,"(12,21]","[0.3419495,0.3729495]",Temperate Broadleaf & Mixed Forests,Palearctic,1
6_104001003153D300_tile_348,6_104001003153D300,6,Denmark,Roskilde,Roskilde Airport,55.5858236,12.132685539683798,Clear Skies,Day,"[12.28,13.29)",Summer,47.914566,"(12,21]","(0.31,0.3419495)",Temperate Broadleaf & Mixed Forests,Palearctic,2
20_1040010038CAE700_tile_123,20_1040010038CAE700,20,Germany,Bavaria,Airport Nuremberg,49.49826845,11.078106331160273,Clear Skies,Day,"[11.27,12.28)",Spring,32.274555,"(21,30]","[0.3419495,0.3729495]",Temperate Broadleaf & Mixed Forests,Palearctic,3
78_10400100351F9900_tile_126,78_10400100351F9900,78,USA,Florida,Keystone Heights Airport,29.8418068,-82.04830112836822,Cloud Cover or Haze,Day,"[12.28,13.29)",Autumn,45.34788,"(21,30]","(0.3729495,0.41]","Temperate Grasslands, Savannas & Shrublands",Nearctic,1
35_104005000ADCB500_tile_111,35_104005000ADCB500,35,UK,South East England,Goodwood Aerodrome,50.8595416,-0.758385442306311,Clear Skies,Day,"[12.28,13.29)",Summer,59.111965,"(21,30]","[0.3419495,0.3729495]",Temperate Broadleaf & Mixed Forests,Palearctic,2
8_104001001051CB00_tile_70,8_104001001051CB00,8,France,Centre-Loire Valley,Bailleau Armenonville Airport,48.5163422,1.6392265406881714,Clear Skies,Day,"[12.28,13.29)",Summer,49.77047,"(21,30]","(0.3729495,0.41]",Temperate Broadleaf & Mixed Forests,Palearctic,3
93_104001002A4FAA00_tile_1202,93_104001002A4FAA00,93,USA,Kentucky,Cincinnati/Northern Kentucky International Airport,39.04990715,-84.66516172504984,Clear Skies,Day,"[11.27,12.28)",Spring,43.621048,"(21,30]","(0.3729495,0.41]",Temperate Broadleaf & Mixed Forests,Nearctic,1
60_1040010046430200_tile_224,60_1040010046430200,60,USA,Arizona,Phoenix Sky Harbor International Airport,33.43284865,-112.00679145657892,Clear Skies,Day,"[11.27,12.28)",Winter,40.206764,"(12,21]","(0.31,0.3419495)",Deserts & Xeric Shrublands,Nearctic,2
18_10400100211BDD00_tile_3027,18_10400100211BDD00,18,Germany,Hesse,Frankfurt Flughafen,50.0529322,8.5699146,Clear Skies,Day,"[12.28,13.29)",Autumn,44.877602,"[3,12]","(0.31,0.3419495)",Temperate Broadleaf & Mixed Forests,Palearctic,3
84_1040010006ABC200_tile_153,84_1040010006ABC200,84,USA,Florida,Fort Lauderdale-Hollywood International Airport,26.072017,-80.15099673135214,Clear Skies,Day,"[10.26,11.27)",Winter,36.491913,"(21,30]","(0.3729495,0.41]",Flooded Grasslands & Savannas,Neotropic,1
54_1040010024086400_tile_590,54_1040010024086400,54,USA,Florida,Miami International Airport,25.7949789,-80.28672341095405,Cloud Cover or Haze,Day,"[11.27,12.28)",Autumn,45.31551,"(21,30]","[0.3419495,0.3729495]",Flooded Grasslands & Savannas,Neotropic,2
37_104001000EA43C00_tile_326,37_104001000EA43C00,37,UK,South East England,London Gatwick Airport,51.1541082,-0.1823116499127204,Clear Skies,Day,"[11.27,12.28)",Summer,59.530472,"(21,30]","[0.3419495,0.3729495]",Temperate Broadleaf & Mixed Forests,Palearctic,3
96_104001000896F900_tile_1231,96_104001000896F900,96,USA,Alaska,Fairbanks International Airport,64.81761,-147.86784231862563,Snow,Day,"[11.27,12.28)",Spring,17.321293,"(21,30]","[0.3419495,0.3729495]",Boreal Forests/Taiga,Nearctic,1
66_1040010037570000_tile_109,66_1040010037570000,66,USA,Arizona,Marana Regional Airport,32.4113732,-111.21748791631757,Clear Skies,Day,"[11.27,12.28)",Winter,38.81488,"(21,30]","[0.3419495,0.3729495]",Deserts & Xeric Shrublands,Nearctic,2
51_10400100061AF700_tile_300,51_10400100061AF700,51,USA,Florida,Opa-locka Executive Airport,25.90619265,-80.27515077349665,Clear Skies,Day,"[10.26,11.27)",Winter,36.465462,"(21,30]","[0.3419495,0.3729495]",Flooded Grasslands & Savannas,Neotropic,3
54_10400100061AF700_tile_616,54_10400100061AF700,54,USA,Florida,Miami International Airport,25.7949789,-80.28672341095405,Clear Skies,Day,"[10.26,11.27)",Winter,36.465462,"(21,30]","[0.3419495,0.3729495]",Flooded Grasslands & Savannas,Neotropic,1
