Model,Feature Excluded,Level Excluded,Included in Training,Precision,Recall,F1,Test Set Size,Expected Precision,Lower 95% Mean Precision,Upper 95% Mean Precision,Expected Recall,Lower 95% Mean Recall,Upper 95% Mean Recall,Expected F1,Lower 95% Mean F1,Upper 95% Mean F1
Model 0,Hour of Day,"[10.26,11.27)",Yes,0.773,0.615,0.685,147,0.7644738372,0.7313078854,0.7946952448,0.6254359665,0.5886296257,0.6608465841,0.6878415698,0.6522149044,0.7213777505
Model 0,Hour of Day,"[10.26,11.27)",No,0.69,0.571,0.625,25,0.6506220917,0.5764756999,0.7181345881,0.4875702513,0.4136944662,0.5619930892,0.554872093,0.4799277754,0.6274012008
Model 1,Hour of Day,"[11.27,12.28)",Yes,0.779,0.614,0.687,139,0.7644738372,0.7313078854,0.7946952448,0.6254359665,0.5886296257,0.6608465841,0.6878415698,0.6522149044,0.7213777505
Model 1,Hour of Day,"[11.27,12.28)",No,0.781,0.591,0.673,33,0.6506220917,0.5764756999,0.7181345881,0.4875702513,0.4136944662,0.5619930892,0.554872093,0.4799277754,0.6274012008
Model 2,Hour of Day,"[12.28,13.29)",Yes,0.73,0.629,0.676,148,0.7644738372,0.7313078854,0.7946952448,0.6254359665,0.5886296257,0.6608465841,0.6878415698,0.6522149044,0.7213777505
Model 2,Hour of Day,"[12.28,13.29)",No,0.694,0.63,0.66,24,0.6506220917,0.5764756999,0.7181345881,0.4875702513,0.4136944662,0.5619930892,0.554872093,0.4799277754,0.6274012008
Model 3,Hour of Day,"[13.29,14.3)",Yes,0.815,0.696,0.751,123,0.7644738372,0.7313078854,0.7946952448,0.6254359665,0.5886296257,0.6608465841,0.6878415698,0.6522149044,0.7213777505
Model 3,Hour of Day,"[13.29,14.3)",No,0.317,0.25,0.28,49,0.6506220917,0.5764756999,0.7181345881,0.4875702513,0.4136944662,0.5619930892,0.554872093,0.4799277754,0.6274012008
Model 4,Hour of Day,"[14.3,15.32]",Yes,0.731,0.579,0.646,131,0.7644738372,0.7313078854,0.7946952448,0.6254359665,0.5886296257,0.6608465841,0.6878415698,0.6522149044,0.7213777505
Model 4,Hour of Day,"[14.3,15.32]",No,0.895,0.554,0.684,41,0.6506220917,0.5764756999,0.7181345881,0.4875702513,0.4136944662,0.5619930892,0.554872093,0.4799277754,0.6274012008
Model 5,Off Nadir Max,"[3,12]",Yes,0.759,0.548,0.636,102,0.6876046511,0.6366695544,0.7343782633,0.5793604619,0.5264968218,0.6304646056,0.6269447674,0.574595003,0.6764796004
