UUID,Center Frequency,Bandwidth,SNR,Start Time,Duration,Signal Type
3e23f51a-2277-451c-8da7-0f3408d6df1c,"[-0.05, 0.05]","[0.0,0.2]","[20,25]",0,1024,4PAM
2ad00682-f104-42db-8da7-97f3577941e7,"(0.05,0.1]","(0.2,0.3]","[5,10)",0,1024,8PSK
3baa18a4-101f-406c-8b9a-046d9b6370f0,"(0.05,0.1]","(0.4,0.6]","[5,10)",0,1024,16ASK
cca166ae-3b85-4d3e-88dc-4bbe20f8ff50,"[-0.05, 0.05]","[0.0,0.2]","[10,15)",0,1024,8ASK
6e6dbd9a-4093-4973-86bc-1ff6d63f5715,"[-0.1,-0.05)","(0.2,0.3]","[5,10)",0,1024,16QAM
ccc43f3c-d3c6-4cc8-a0d9-2dc74e4e66e5,"(0.05,0.1]","(0.3,0.4]","[15,20)",0,1024,QPSK
f4903284-06dd-4586-a895-92d8c26c7f5e,"[-0.05, 0.05]","(0.2,0.3]","[15,20)",0,1024,QPSK
b5c64df1-e8dd-4b08-824b-3ed4f7272a89,"[-0.1,-0.05)","(0.3,0.4]","[15,20)",0,1024,8PSK
ecde58f7-344f-4e0f-8593-69802eb8b135,"[-0.05, 0.05]","(0.4,0.6]","[20,25]",0,1024,8PAM
85301bb5-013d-4601-8dfb-f2e5cf26c663,"(0.05,0.1]","(0.2,0.3]","[20,25]",0,1024,16PSK
6f4918d2-6284-4d26-ae1f-b646a5b98837,"[-0.05, 0.05]","(0.2,0.3]","[20,25]",0,1024,16PSK
79290812-858a-42c1-9559-f9805ed4d18c,"[-0.05, 0.05]","(0.4,0.6]","[5,10)",0,1024,16ASK
6d9fef9f-b0b7-4af5-a586-5e6d99aad8b7,"[-0.05, 0.05]","[0.0,0.2]","[15,20)",0,1024,8ASK
12a36666-ab99-4491-b9d3-ed609794acf1,"(0.05,0.1]","(0.3,0.4]","[20,25]",0,1024,8ASK
c99493d8-2519-40e9-bbb6-6106242e1dff,"[-0.1,-0.05)","(0.2,0.3]","[10,15)",0,1024,16PSK
2e107b66-1c5d-48ea-afb9-bff13fb2cd61,"[-0.1,-0.05)","(0.4,0.6]","[10,15)",0,1024,8PSK
f3f0ab68-c398-4ee7-8a60-f9d8eaf513c7,"[-0.05, 0.05]","(0.3,0.4]","[10,15)",0,1024,16ASK
9473c4fd-7a09-4e39-88f7-c097087ea82b,"[-0.05, 0.05]","(0.4,0.6]","[10,15)",0,1024,8ASK
f5f748ac-be1d-4663-b8d7-1894a63b4124,"[-0.1,-0.05)","(0.3,0.4]","[10,15)",0,1024,BASK
158682cd-f211-4b7c-9ea4-f1846ec5df09,"[-0.05, 0.05]","(0.3,0.4]","[10,15)",0,1024,BASK
46b417b1-b6f8-4e8e-88f4-061f04af0b3f,"[-0.05, 0.05]","(0.3,0.4]","[10,15)",0,1024,16PAM
809c5bcf-061d-4807-b2ca-9b24f9d630d0,"[-0.1,-0.05)","[0.0,0.2]","[20,25]",0,1024,BPSK
bfe318fc-0a4c-4b66-b196-ba92e6b2e03e,"[-0.05, 0.05]","[0.0,0.2]","[5,10)",0,1024,8PSK
ac5f04f6-1d63-434e-a9ee-713f3ae1f619,"[-0.05, 0.05]","(0.2,0.3]","[15,20)",0,1024,4ASK
4cdac538-ced2-4c40-a6cd-49f5e0109886,"(0.05,0.1]","(0.3,0.4]","[10,15)",0,1024,QPSK
8252ebb0-fa9a-4900-9ce8-b83d9a197348,"[-0.1,-0.05)","(0.4,0.6]","[5,10)",0,1024,64QAM
bd4ae077-4cdc-4e59-9c03-dd92e7dd59ba,"[-0.05, 0.05]","[0.0,0.2]","[20,25]",0,1024,16PSK
