,id,A,B,C,D,lab
0,0,a2,17.794,c2,d4,l3
1,1,a2,13.679,c3,d3,l2
2,2,a1,11.782,c1,d1,l1
3,3,a2,22.23,c3,d3,l1
4,4,a2,23.236,c2,d1,l1
5,5,a1,29.237,c3,d2,l2
6,6,a2,14.409,c3,d2,l3
7,7,a2,3.991,c3,d3,l2
8,8,a1,5.063,c2,d1,l3
9,9,a2,26.763,c2,d4,l2
10,10,a2,26.325,c2,d2,l3
11,11,a2,8.122,c2,d2,l2
12,12,a2,14.899,c2,d2,l3
13,13,a2,23.752,c3,d2,l1
14,14,a2,7.605,c2,d3,l1
15,15,a2,2.939,c1,d3,l2
16,16,a1,7.663,c2,d3,l3
17,17,a2,8.655,c2,d1,l2
18,18,a2,9.109,c1,d1,l1
19,19,a1,22.77,c2,d4,l3
20,20,a1,8.081,c2,d2,l2
21,21,a2,3.652,c3,d3,l1
22,22,a1,0.867,c2,d4,l3
23,23,a2,2.631,c2,d1,l1
24,24,a2,8.507,c1,d3,l3
25,25,a1,5.087,c3,d3,l2
26,26,a1,0.609,c2,d1,l1
27,27,a1,2.823,c1,d2,l3
28,28,a1,26.943,c2,d2,l1
29,29,a2,17.34,c3,d3,l3
30,30,a2,6.772,c2,d4,l2
31,31,a1,25.126,c2,d3,l3
32,32,a1,14.269,c1,d2,l1
33,33,a2,2.138,c3,d2,l2
34,34,a1,4.525,c2,d4,l1
35,35,a2,16.585,c3,d3,l2
36,36,a1,20.948,c3,d3,l1
37,37,a1,8.095,c3,d4,l3
38,38,a2,25.241,c2,d4,l3
39,39,a2,15.948,c1,d3,l2
40,40,a2,7.686,c1,d3,l1
41,41,a1,2.432,c1,d4,l1
42,42,a2,4.361,c2,d1,l2
43,43,a2,25.291,c3,d3,l1
44,44,a1,18.83,c1,d1,l2
45,45,a1,14.989,c2,d3,l2
46,46,a1,10.517,c3,d1,l1
47,47,a1,22.873,c1,d1,l1
48,48,a2,23.293,c1,d1,l3
49,49,a1,6.99,c3,d3,l3
50,50,a2,27.867,c1,d1,l1
51,51,a2,26.476,c2,d1,l2
52,52,a2,27.713,c2,d4,l2
53,53,a2,23.367,c1,d2,l3
54,54,a1,23.51,c3,d2,l1
55,55,a2,28.974,c2,d3,l3
56,56,a1,5.319,c3,d4,l3
57,57,a2,27.296,c1,d4,l2
58,58,a1,22.141,c2,d2,l3
59,59,a1,29.159,c2,d2,l2
60,60,a2,14.812,c3,d4,l3
61,61,a1,27.433,c1,d3,l3
62,62,a2,19.962,c1,d1,l1
63,63,a2,21.165,c2,d2,l2
64,64,a2,26.409,c1,d4,l2
65,65,a2,25.407,c3,d4,l3
66,66,a1,22.228,c3,d3,l2
67,67,a1,14.647,c3,d4,l3
68,68,a2,27.612,c2,d2,l1
69,69,a2,21.645,c1,d2,l2
70,70,a2,2.398,c1,d4,l1
71,71,a1,2.225,c1,d4,l3
72,72,a1,8.085,c1,d4,l1
73,73,a1,29.715,c1,d1,l3
74,74,a2,21.352,c3,d4,l2
75,75,a2,27.486,c1,d2,l3
76,76,a2,3.123,c3,d1,l3
77,77,a1,6.306,c1,d1,l1
78,78,a1,14.999,c3,d2,l2
79,79,a2,14.611,c2,d3,l3
80,80,a1,24.936,c2,d3,l2
81,81,a1,12.704,c2,d4,l3
82,82,a2,20.981,c3,d4,l2
83,83,a1,27.743,c2,d3,l2
84,84,a1,27.459,c1,d3,l3
85,85,a1,28.864,c1,d1,l1
86,86,a1,28.083,c1,d4,l2
87,87,a2,13.436,c1,d1,l2
